,Mean Reward,Standard Error
10,-1030.344434438,205.15604330964754
25,-369.322691514,103.12545383097269
50,-239.00527737399997,37.527214749237885
100,-432.061396436,149.74474551260917
200,-308.69318964,80.71598080806078
