,Mean Reward,Standard Error
10,-288.09978602600006,36.22308550232437
25,-289.17976669200004,27.86859632525956
50,-252.65394827600002,40.89555768633359
100,-211.50282561,26.02284740673614
200,-182.01237556200002,14.293975892685937
