,Mean Reward,Standard Error
10,-845.034646978,231.1737044700404
25,-816.269263118,216.278451843604
50,-349.816349398,84.35248824157793
100,-229.67750243999998,16.205548532121295
200,-210.49376725399998,9.569034337382087
