,Mean Reward,Standard Error
10,-506.56477351199993,238.3920552154001
25,-252.97795271399997,43.339701586439496
50,-334.967537736,40.78407276647785
100,-268.17019893199995,35.450052870807546
200,-269.397323082,53.27875744748572
